                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2112,                   3.21,                 1.5058,                0.72038,                0.67384,                0.73907,                0.59787,                0.91322,                 1.6217,                 1.3355,             0.00023743,             0.00023743,             0.00023743
                      2,                 1.2074,                 2.3451,                 1.4941,                0.49065,                0.43056,                0.43039,                0.30651,                 1.0912,                 2.2768,                 1.5226,             0.00045404,             0.00045404,             0.00045404
                      3,                 1.2073,                 2.1877,                 1.5019,                0.63807,                0.62193,                 0.6307,                 0.5233,                0.88913,                  1.904,                 1.3121,             0.00064922,             0.00064922,             0.00064922
                      4,                  1.174,                  2.054,                 1.4814,                0.71321,                0.68245,                0.74181,                0.63147,                0.83374,                 1.2586,                 1.2921,             0.00061761,             0.00061761,             0.00061761
                      5,                 1.1171,                 1.9055,                 1.4392,                0.83103,                0.71697,                0.78285,                0.67961,                0.77819,                 1.1597,                 1.2325,             0.00058548,             0.00058548,             0.00058548
                      6,                 1.0988,                  1.829,                 1.4244,                0.74523,                0.76675,                0.77209,                0.68098,                0.74971,                 1.2518,                 1.2116,             0.00055335,             0.00055335,             0.00055335
                      7,                 1.0754,                 1.7451,                 1.4062,                0.84213,                0.78289,                0.81273,                0.72498,                0.72821,                 1.1063,                 1.1944,             0.00052122,             0.00052122,             0.00052122
                      8,                 1.0499,                  1.706,                 1.3963,                0.83388,                 0.8067,                0.82521,                0.73707,                0.70306,                   1.08,                 1.1835,             0.00048909,             0.00048909,             0.00048909
                      9,                 1.0201,                 1.6344,                 1.3707,                0.86152,                0.80467,                0.83936,                0.74703,                0.70204,                0.98106,                 1.1709,             0.00045696,             0.00045696,             0.00045696
                     10,                 1.0246,                 1.6148,                 1.3712,                0.84874,                  0.831,                 0.8401,                 0.7499,                0.68371,                 1.0089,                 1.1587,             0.00042483,             0.00042483,             0.00042483
                     11,                  1.047,                  1.642,                 1.4281,                0.86594,                0.82527,                0.84427,                0.75509,                0.67333,                0.93466,                 1.1456,              0.0003927,              0.0003927,              0.0003927
                     12,                 1.0326,                 1.5824,                 1.4161,                0.85485,                0.82774,                0.84471,                0.75948,                0.66341,                 0.8603,                 1.1439,             0.00036057,             0.00036057,             0.00036057
                     13,                 1.0126,                 1.5511,                 1.3987,                0.86716,                0.83512,                0.84711,                0.75735,                0.66754,                0.95334,                 1.1465,             0.00032844,             0.00032844,             0.00032844
                     14,                0.99821,                 1.4858,                 1.3779,                0.87588,                0.82876,                0.85457,                0.76763,                0.65148,                0.86047,                 1.1363,             0.00029631,             0.00029631,             0.00029631
                     15,                0.96765,                 1.4652,                 1.3669,                0.88092,                0.82467,                0.85071,                0.76724,                0.65117,                0.92351,                 1.1325,             0.00026418,             0.00026418,             0.00026418
                     16,                0.95526,                  1.423,                 1.3547,                0.85099,                0.85174,                0.85416,                0.77116,                0.64527,                0.92814,                  1.129,             0.00023205,             0.00023205,             0.00023205
                     17,                0.94567,                 1.3765,                 1.3442,                0.87127,                0.84077,                0.85713,                0.77586,                0.63962,                0.91917,                 1.1251,             0.00019992,             0.00019992,             0.00019992
                     18,                0.93198,                 1.3431,                 1.3373,                0.87114,                0.84832,                0.86149,                0.77833,                0.63665,                 0.9325,                  1.125,             0.00016779,             0.00016779,             0.00016779
                     19,                0.92456,                 1.2981,                 1.3176,                0.87906,                0.84085,                0.85815,                0.77917,                0.62868,                 0.9627,                 1.1251,             0.00013566,             0.00013566,             0.00013566
                     20,                0.91439,                 1.2843,                 1.3146,                0.88824,                0.84162,                0.86334,                0.78344,                 0.6296,                0.90918,                 1.1205,             0.00010353,             0.00010353,             0.00010353
