               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.064205,0.036898,0.069201,0.14691,0.30791,0.16567,0.10647,0.033484,0.0075226,0.051099,0.068371,0.0016647,0.0016647
1,0.048185,0.034813,0.055299,0.49244,0.40093,0.33809,0.24127,0.029354,0.0076816,0.037133,0.036555,0.0031814,0.0031814
2,0.047477,0.034597,0.046177,0.45059,0.47291,0.4746,0.35244,0.03076,0.0089794,0.029315,0.0045881,0.0045482,0.0045482
3,0.046089,0.0343,0.041086,0.65697,0.64254,0.65575,0.51632,0.028449,0.0084285,0.020375,0.004325,0.004325,0.004325
4,0.045203,0.034139,0.03742,0.74331,0.69847,0.74147,0.59536,0.028074,0.0085883,0.018184,0.004325,0.004325,0.004325
5,0.043596,0.033373,0.035011,0.77441,0.7221,0.76031,0.60879,0.027458,0.0079996,0.016714,0.0041,0.0041,0.0041
6,0.04292,0.033439,0.032453,0.8151,0.73672,0.785,0.63092,0.026504,0.0075521,0.013987,0.003875,0.003875,0.003875
7,0.042463,0.033343,0.030868,0.82399,0.7471,0.79513,0.65586,0.02673,0.0081931,0.013252,0.00365,0.00365,0.00365
8,0.041603,0.032501,0.029464,0.80938,0.76922,0.80646,0.67276,0.025769,0.0079351,0.01052,0.003425,0.003425,0.003425
9,0.04086,0.0323,0.028806,0.82464,0.77027,0.80966,0.68381,0.025531,0.0076582,0.011472,0.0032,0.0032,0.0032
10,0.040586,0.032172,0.027758,0.82636,0.80284,0.82148,0.69439,0.025032,0.0072666,0.0092739,0.002975,0.002975,0.002975
11,0.040133,0.031781,0.026731,0.83832,0.80045,0.82607,0.69829,0.024957,0.007719,0.0089088,0.00275,0.00275,0.00275
12,0.039643,0.032057,0.025371,0.83387,0.80759,0.83083,0.70462,0.025029,0.0074607,0.0075604,0.002525,0.002525,0.002525
13,0.039334,0.031937,0.025025,0.8271,0.82275,0.83561,0.71004,0.024407,0.0076426,0.0073345,0.0023,0.0023,0.0023
14,0.038554,0.031458,0.024537,0.83478,0.81632,0.83148,0.71325,0.024466,0.0079784,0.0072531,0.002075,0.002075,0.002075
15,0.038126,0.031452,0.023816,0.84499,0.81052,0.83656,0.72121,0.024118,0.0075913,0.0063832,0.00185,0.00185,0.00185
16,0.037843,0.03142,0.023398,0.83985,0.82105,0.83896,0.72492,0.024091,0.007599,0.0074578,0.001625,0.001625,0.001625
17,0.037558,0.031187,0.022907,0.83472,0.83028,0.83964,0.72611,0.02404,0.0077419,0.0080316,0.0014,0.0014,0.0014
18,0.037073,0.030999,0.022002,0.83778,0.83429,0.84229,0.72814,0.024018,0.0076739,0.0067057,0.001175,0.001175,0.001175
19,0.036708,0.030604,0.02179,0.83933,0.82926,0.84247,0.72971,0.024011,0.0079655,0.0055759,0.00095,0.00095,0.00095
